address,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude,zones
Rua Feliciano Ribeiro ,2.0,450000.0,3.0,85.0,Rio Branco,Belo Horizonte,-19.8146891,-43.9780826,Venda Nova
Rua Capitão Bragança ,3.0,1100000.0,5.0,500.0,Santa Tereza,Belo Horizonte,-19.9106807,-43.9132442,Leste
Rua José Ribeiro Filho ,1.0,173000.0,2.0,47.0,Ouro Preto,Belo Horizonte,-19.8746606,-43.9916387,Pampulha
"Rua Felipe de Melo, 76 ",1.0,1000000.0,2.0,137.0,União,Belo Horizonte,-19.8785756,-43.9274564,Nordeste
"Rua Jacuí, 10 ",1.0,210000.0,2.0,65.0,Floresta,Belo Horizonte,-19.8777593,-43.9290751,Leste
Rua Tomaz Gonzaga ,4.0,4800000.0,4.0,393.0,Lourdes,Belo Horizonte,-19.9329322,-43.9411068,Centro-Sul
"Rua Engenheiro Alberto Pontes, 122 ",4.0,949900.0,4.0,129.0,Buritis,Belo Horizonte,-19.9689271,-43.9668895,Oeste
Avenida Petrolina ,1.0,265000.0,2.0,53.0,Sagrada Família,Belo Horizonte,-19.9035563,-43.9192199,Leste
"Rua Adauto Lúcio Cardoso, 46 ",4.0,3200000.0,4.0,387.0,Belvedere,Belo Horizonte,-18.763547,-44.4244838,Centro-Sul
"Rua Augusto Clementino, 141 ",1.0,415000.0,2.0,90.0,Santa Amélia,Belo Horizonte,-19.8341265,-43.981495,Pampulha
Rua Xingu ,5.0,5500000.0,4.0,350.0,Santa Lúcia,Belo Horizonte,-19.9729011,-43.9504096,Centro-Sul
Rua Corinto ,2.0,370000.0,3.0,90.0,Serra,Belo Horizonte,-19.9396021,-43.914634,Centro-Sul
Rua Radialista Décio Silveira ,2.0,310000.0,3.0,60.0,Céu Azul,Belo Horizonte,-19.8211007,-43.9977048,Pampulha
Rua Antônio de Albuquerque ,2.0,920000.0,2.0,72.0,Savassi,Belo Horizonte,-19.936584,-43.9421163,Centro-Sul
"Rua Minas Novas, 39 ",2.0,710000.0,3.0,84.0,Cruzeiro,Belo Horizonte,-19.9404018,-43.9274465,Centro-Sul
Rua Sena Madureira ,3.0,965000.0,3.0,160.0,Ouro Preto,Belo Horizonte,-19.8740387,-43.9878369,Pampulha
Rua Bernardo Guimarães ,2.0,1328690.0,3.0,93.0,Funcionários,Belo Horizonte,-19.927333,-43.9477878,Centro-Sul
"Rua Paracatu, 1423 ",2.0,1150000.0,4.0,163.0,Santo Agostinho,Belo Horizonte,-19.9198913,-43.9512169,Centro-Sul
"Rua Ana Hilbert, 80 ",1.0,219000.0,3.0,68.0,Santa Helena,Belo Horizonte,-19.9826517,-44.0100916,Barreiro
Rua Doutor Teles ,4.0,2570000.0,4.0,284.0,Liberdade,Belo Horizonte,-19.8608164,-43.9540903,Pampulha
Rua dos Timbiras ,1.0,530000.0,3.0,70.0,Lourdes,Belo Horizonte,-19.9302789,-43.9251047,Centro-Sul
"Rua Frutal, 245 ",1.0,280000.0,2.0,93.0,Santa Efigênia,Belo Horizonte,-19.9196841,-43.9127335,Leste
"Rua Oswaldo Ferraz, 249 ",2.0,476000.0,3.0,74.0,Sagrada Família,Belo Horizonte,-19.9007311,-43.9290741,Leste
"Rua Dias Adorno, 350 ",2.0,1600000.0,4.0,140.0,Santo Agostinho,Belo Horizonte,-19.9308006,-43.9507116,Centro-Sul
Rua Antônio de Albuquerque ,2.0,1462400.0,2.0,78.0,Savassi,Belo Horizonte,-19.936584,-43.9421163,Centro-Sul
Rua La Plata ,2.0,1390000.0,4.0,138.0,Sion,Belo Horizonte,-19.9542202,-43.9328012,Centro-Sul
"Rua Rio de Janeiro, 1302 ",1.0,695000.0,2.0,75.0,Lourdes,Belo Horizonte,-19.9150685,-43.9375314,Centro-Sul
"Rua Maranhão, 1737 ",3.0,1600000.0,4.0,154.0,Funcionários,Belo Horizonte,-19.9265829,-43.9240941,Centro-Sul
"Rua dos Guajajaras, 329 ",0.0,345000.0,3.0,110.0,Centro,Belo Horizonte,-19.9261909,-43.93638,Centro-Sul
Rua Alsácia ,2.0,415000.0,2.0,52.0,Coração Eucarístico,Belo Horizonte,-19.9177044,-43.9873145,Noroeste
Avenida Flávio dos Santos ,1.0,426000.0,2.0,75.0,Floresta,Belo Horizonte,-19.9143766,-43.9255042,Leste
Avenida dos Bandeirantes ,3.0,1990000.0,4.0,150.0,Sion,Belo Horizonte,-19.9572301,-43.9319731,Centro-Sul
"Rua Professora Bartira Mourão, 587 ",2.0,600000.0,3.0,85.0,Buritis,Belo Horizonte,-19.9691439,-43.9679544,Oeste
Rua Ubá ,2.0,530000.0,3.0,93.0,Colégio Batista,Belo Horizonte,-19.9102519,-43.9356369,Leste
"Rua Maria Beatriz, 0 ",1.0,260000.0,2.0,55.0,Havaí,Belo Horizonte,-19.9553147,-43.9778678,Oeste
Rua Newton Pinto de Souza ,2.0,345000.0,3.0,59.0,Santa Mônica,Belo Horizonte,-19.8245133,-43.9758532,Pampulha
"Rua José Amaury Ferrara, 112 ",2.0,600000.0,3.0,98.0,Buritis,Belo Horizonte,-19.9767036,-43.9682334,Oeste
Avenida Senador José Augusto ,2.0,730000.0,3.0,132.0,Buritis,Belo Horizonte,-19.9812868,-43.978411,Oeste
Rua Santa Catarina ,3.0,2480000.0,3.0,240.0,Lourdes,Belo Horizonte,-19.9232479,-43.9438549,Centro-Sul
Rua Desembargador Alfredo de Albuquerque ,2.0,1100000.0,3.0,160.0,Santo Antônio,Belo Horizonte,-19.9413105,-43.9413073,Centro-Sul
Rua Fernando Ferrari ,2.0,690000.0,3.0,130.0,Planalto,Belo Horizonte,-19.8290819,-43.9603694,Norte
"Rua Professor Tancredo Martins, 71 ",1.0,230000.0,2.0,50.0,São Lucas,Belo Horizonte,-19.9293276,-43.9168398,Centro-Sul
"Rua Planetóides, 86 ",4.0,2309000.0,4.0,202.0,Santa Lúcia,Belo Horizonte,-19.9659632,-43.9446008,Centro-Sul
"Rua Odilon Braga, 567 ",2.0,1400000.0,5.0,300.0,Anchieta,Belo Horizonte,-19.9524463,-43.9223112,Centro-Sul
"Rua José Ferreira Cascão, 40 ",5.0,5950000.0,4.0,465.0,Belvedere,Belo Horizonte,-19.9787549,-43.9444515,Centro-Sul
Rua São Julião ,2.0,650000.0,4.0,140.0,Nova Floresta,Belo Horizonte,-19.8955896,-43.9350983,Nordeste
"Rua Rio de Janeiro, 888 ",0.0,355000.0,2.0,94.0,Centro,Belo Horizonte,-19.9150685,-43.9375314,Centro-Sul
"Rua Doutor Cinyras Ladeira, 135 ",2.0,690000.0,3.0,200.0,Heliópolis,Belo Horizonte,-19.842733,-43.937273,Norte
"Rua dos Otoni, 310 ",2.0,1160000.0,3.0,106.0,Santa Efigênia,Belo Horizonte,-19.86409,-43.9327907,Leste
"Rua Rubens Caporali Ribeiro, 800 ",50.0,8500000.0,1.0,4000.0,Buritis,Belo Horizonte,-19.9813444,-43.9764845,Oeste
"Rua São Paulo, 2174 ",2.0,1170000.0,1.0,83.0,Lourdes,Belo Horizonte,-19.914782,-43.9388011,Centro-Sul
Rua Itapoã ,1.0,440000.0,3.0,120.0,Pindorama,Belo Horizonte,-19.8025366,-44.0251495,Noroeste
"Rua Chicago, 0 ",4.0,2300000.0,4.0,158.0,Sion,Belo Horizonte,-19.9533011,-43.9330402,Centro-Sul
Rua Montes Claros ,1.0,540000.0,3.0,97.0,Anchieta,Belo Horizonte,-19.9434371,-43.9342094,Centro-Sul
Avenida Augusto de Lima ,0.0,280000.0,2.0,64.0,Centro,Belo Horizonte,-19.9230616,-43.9441556,Centro-Sul
"Avenida Augusto de Lima, 444 ",0.0,520000.0,3.0,105.0,Centro,Belo Horizonte,-19.9230616,-43.9441556,Centro-Sul
Avenida Senador José Augusto ,3.0,1400000.0,4.0,126.0,Buritis,Belo Horizonte,-19.9812868,-43.978411,Oeste
Rua Padre Willian Silva ,2.0,760000.0,4.0,108.0,Planalto,Belo Horizonte,-19.8279808,-43.9547206,Norte
"Rua Engenheiro Walter Kurrle, 51 ",3.0,2000000.0,2.0,175.0,Belvedere,Belo Horizonte,-19.9777773,-43.9433639,Centro-Sul
"Rua Gonçalves Dias, 865 ",6.0,9295000.0,4.0,506.0,Funcionários,Belo Horizonte,-19.9311846,-43.9376407,Centro-Sul
Rua Marlene Mendes Pereira ,0.0,160000.0,2.0,46.0,Céu Azul,Belo Horizonte,-19.8201357,-44.0042123,Pampulha
Rua Gustavo Ladeira ,1.0,430000.0,3.0,103.0,Paquetá,Belo Horizonte,-19.8798769,-43.9917158,Pampulha
"Rua Rio Grande do Sul, 1531 ",4.0,3210000.0,3.0,438.0,Santo Agostinho,Belo Horizonte,-19.9227162,-43.946463,Centro-Sul
"Avenida Artur Bernardes, 500 ",1.0,420000.0,3.0,95.0,Santa Lúcia,Belo Horizonte,-19.9545898,-43.9465102,Centro-Sul
Rua Níquel ,4.0,2650000.0,4.0,289.0,Serra,Belo Horizonte,-19.9410888,-43.9171343,Centro-Sul
"Rua Rio Espera, 491 ",2.0,350000.0,2.0,70.0,Carlos Prates,Belo Horizonte,-19.9164087,-43.9593959,Noroeste
Rua Sílvio de Oliveira Martins ,3.0,530000.0,3.0,227.0,Buritis,Belo Horizonte,-19.9738876,-43.9697931,Oeste
Rua Fidélis Martins ,2.0,380000.0,2.0,62.0,Buritis,Belo Horizonte,-19.9680426,-43.9707378,Oeste
"Rua Ceará, 1838 ",2.0,1150000.0,3.0,102.0,Savassi,Belo Horizonte,-19.921286,-43.9253997,Centro-Sul
"Rua Dona Queridinha, 290 ",4.0,1650000.0,5.0,360.0,Itapoã,Belo Horizonte,-19.837092,-43.9623659,Pampulha
Rua Engenheiro Aluísio Rocha ,2.0,750000.0,4.0,118.0,Buritis,Belo Horizonte,-19.9762877,-43.9693919,Oeste
Rua dos Guaranis ,0.0,350000.0,2.0,68.0,Centro,Belo Horizonte,-19.9149338,-43.942013,Centro-Sul
Rua Cassiporé ,1.0,650000.0,3.0,135.0,Anchieta,Belo Horizonte,-19.9499745,-43.9281081,Centro-Sul
Avenida do Contorno ,2.0,940000.0,3.0,102.0,Funcionários,Belo Horizonte,-19.9156428,-43.9453796,Centro-Sul
Rua Professor Arduino Bolivar ,0.0,300000.0,3.0,99.0,Santo Antônio,Belo Horizonte,-19.9438548,-43.9459696,Centro-Sul
Rua Hematita ,2.0,415000.0,3.0,110.0,Caiçaras,Belo Horizonte,-19.9090382,-43.9700512,Noroeste
Rua Zurick ,2.0,350000.0,3.0,95.0,Nova Suíssa,Belo Horizonte,-19.9306061,-43.9811662,Oeste
"Rua Passa Tempo, 10 ",1.0,350000.0,3.0,85.0,Carmo,Belo Horizonte,-19.9458256,-43.9307955,Centro-Sul
Rua Bernardo Guimarães ,6.0,6300000.0,4.0,432.0,Santo Agostinho,Belo Horizonte,-19.927333,-43.9477878,Centro-Sul
