address,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude,zones
"Avenida Raja Gabaglia, 1583 ",1.0,330000.0,1.0,40.0,Luxemburgo,Belo Horizonte,-19.9364152,-43.9533964,Centro-Sul
"Rua Espírito Santo, 1171 ",1.0,480000.0,2.0,55.0,Centro,Belo Horizonte,-18.8647762,-41.1217768,Centro-Sul
"Rua dos Expedicionários, 1082 ",5.0,1190000.0,4.0,411.0,Santa Amélia,Belo Horizonte,-20.2252407,-44.3977797,Pampulha
"Rua Marechal Hermes, 81 ",4.0,1590000.0,4.0,158.0,Gutierrez,Belo Horizonte,-19.9371552,-43.9586943,Oeste
"Rua Juruna, 110 ",6.0,550000.0,3.0,278.0,Pindorama,Belo Horizonte,-19.9129822,-44.0199442,Noroeste
"Rua Maria Pereira de Araújo, 15 ",1.0,450000.0,3.0,87.0,Castelo,Belo Horizonte,-19.8861475,-44.0042361,Pampulha
"Rua Espírito Santo, 1580 ",2.0,861748.0,2.0,65.5,Centro,Belo Horizonte,-18.8647762,-41.1217768,Centro-Sul
"Rua Matipó, 455 ",2.0,549900.0,4.0,153.0,Santo Antônio,Belo Horizonte,-19.9473515,-43.9434703,Centro-Sul
"Rua Pitangui, 000 ",2.0,890000.0,3.0,200.0,Sagrada Família,Belo Horizonte,-19.9023386,-43.9420716,Leste
"Avenida dos Bandeirantes, 76 ",3.0,2550000.0,4.0,570.0,Sion,Belo Horizonte,-19.9572301,-43.9319731,Centro-Sul
"Avenida Bias Fortes, 1603 ",1.0,310000.0,2.0,74.0,Lourdes,Belo Horizonte,-19.9320955,-43.9393472,Centro-Sul
"Rua Maestro Delê Andrade, 231 ",1.0,311000.0,3.0,72.0,Santa Efigênia,Belo Horizonte,-19.9242017,-43.9131071,Leste
"Rua Bom Despacho, 356 ",3.0,975000.0,5.0,250.0,Santa Tereza,Belo Horizonte,-19.8738542,-44.0049198,Leste
"Rua Curitiba, 1677 ",2.5,826000.0,2.0,63.5,Lourdes,Belo Horizonte,-19.9122312,-43.9396634,Centro-Sul
"Rua Alvarenga Peixoto, 711 ",3.0,1027000.0,3.0,102.0,Lourdes,Belo Horizonte,-19.929576,-43.9494157,Centro-Sul
Rua Carlos Schettino ,1.0,180000.0,2.0,52.0,Nova Gameleira,Belo Horizonte,-19.9427423,-43.9951065,Oeste
"Rua Barão de Cocais, 397 ",2.0,750000.0,4.0,160.0,Sagrada Família,Belo Horizonte,-19.9093193,-43.9220712,Leste
"Rua João Calvino, 150 ",3.0,800000.0,3.0,215.0,São João Batista,Belo Horizonte,-19.8179098,-43.9705903,Venda Nova
Rua Araraquara ,2.0,560000.0,3.0,82.0,Nova Suíssa,Belo Horizonte,-19.9343061,-43.9775176,Oeste
"Rua Augusto José de Araújo, 217 ",1.0,385000.0,2.0,90.0,São Gabriel,Belo Horizonte,-19.8554481,-43.9186394,Nordeste
"Rua Cecília Fonseca Coutinho, 480 ",1.0,280000.0,2.0,54.0,Castelo,Belo Horizonte,-19.8888222,-43.995234,Pampulha
"Rua João Antônio Cardoso, 128 ",0.0,495000.0,4.0,127.0,Ouro Preto,Belo Horizonte,-19.8753366,-43.9827445,Pampulha
"Rua Contria, 784 ",1.0,750000.0,2.0,160.0,Alto Barroca,Belo Horizonte,-19.9288646,-43.9703277,Oeste
"Rua Jacson Passos, 15 ",3.0,650000.0,3.0,200.0,Goiânia,Belo Horizonte,-19.8587547,-43.9011513,Nordeste
"Rua Tenente Marino Freire, 135 ",2.0,380000.0,3.0,140.0,Maria Helena,Belo Horizonte,-19.8018933,-43.993773,Venda Nova
"Rua Sebastião Fabiano Dias, 105 ",3.0,1950000.0,4.0,178.0,Belvedere,Belo Horizonte,-19.9763098,-43.9441586,Centro-Sul
"Avenida José Cândido da Silveira, 549 ",2.0,400000.0,3.0,90.0,Cidade Nova,Belo Horizonte,-19.8772474,-43.9104561,Nordeste
"Rua Grenat, 120 ",3.0,390000.0,4.0,254.0,Vitória,Belo Horizonte,-19.8618303,-43.8875317,Nordeste
"Rua São Paulo, 1801 ",3.0,2025000.0,3.0,123.0,Lourdes,Belo Horizonte,-19.914782,-43.9388011,Centro-Sul
"Rua Antônio de Albuquerque, 230 ",2.0,890000.0,2.0,72.0,Savassi,Belo Horizonte,-19.936584,-43.9421163,Centro-Sul
"Rua da Bahia, 485 ",0.0,380000.0,3.0,96.0,Centro,Belo Horizonte,-19.9151776,-43.9347647,Centro-Sul
"Rua Mariano Procópio, 376 ",2.0,358000.0,2.0,55.0,João Pinheiro,Belo Horizonte,-19.9305746,-43.9939538,Noroeste
"Rua São Sebastião do Paraíso, 351 ",3.0,545000.0,4.0,115.0,Itapoã,Belo Horizonte,-19.8351911,-43.9633143,Pampulha
"Rua Doutor Juvenal dos Santos, 324 ",2.0,850000.0,3.0,120.0,Luxemburgo,Belo Horizonte,-19.9508257,-43.9585445,Centro-Sul
"Rua Santa Rosa, 50 ",1.0,300000.0,3.0,80.0,São Tomaz,Belo Horizonte,-19.7876321,-43.977021,Norte
"Rua Alvarenga Peixoto, 594 ",1.0,695416.0,1.0,43.5,Lourdes,Belo Horizonte,-19.929576,-43.9494157,Centro-Sul
"Rua Deputado Bernardino de Sena Figueiredo, 1177 ",3.0,620000.0,3.0,90.0,Cidade Nova,Belo Horizonte,-19.8840778,-43.9282818,Nordeste
"Avenida Cristiano Machado, 1420 ",1.0,290000.0,3.0,92.0,Sagrada Família,Belo Horizonte,-19.8475195,-43.9324755,Leste
"Avenida Amazonas, 61 ",0.0,320000.0,2.0,65.0,Centro,Belo Horizonte,-19.9379439,-43.9991336,Centro-Sul
"Rua Rubi, 402 ",1.0,600000.0,3.0,110.0,Prado,Belo Horizonte,-19.7884921,-43.9717152,Oeste
"Rua Alvarenga Peixoto, 425 ",2.0,969619.0,2.5,92.0,Lourdes,Belo Horizonte,-19.929576,-43.9494157,Centro-Sul
"Rua Mariano Procópio, 376 ",2.0,398000.0,2.0,130.0,João Pinheiro,Belo Horizonte,-19.9305746,-43.9939538,Noroeste
Rua Flor,1.0,495000.0,3.0,68.0,Beija-Flor,Belo Horizonte,-19.8339596,-43.8688074,Nordeste
"Rua Sebastião Fabiano Dias, 233 ",2.0,930000.0,3.0,100.0,Belvedere,Belo Horizonte,-19.9763098,-43.9441586,Centro-Sul
"Rua Ramalho Ortigão, 649 ",3.0,740000.0,3.0,200.0,Santa Branca,Belo Horizonte,-19.8327541,-43.9664751,Pampulha
Rua Lavras ,4.0,4200000.0,4.0,391.0,São Pedro,Belo Horizonte,-19.9481626,-43.9382658,Centro-Sul
"Rua dos Timbiras, 3198 ",2.5,680000.0,2.5,105.5,Barro Preto,Belo Horizonte,-19.9302789,-43.9251047,Centro-Sul
Rua Tabelião Ferreira de Carvalho ,2.0,649900.0,3.0,93.0,Cidade Nova,Belo Horizonte,-19.8869404,-43.9290733,Nordeste
"Rua José Hemetério Andrade, 558 ",1.0,319000.0,2.0,75.0,Buritis,Belo Horizonte,-19.9786425,-43.9631117,Oeste
Rua Ubá ,2.0,670000.0,3.0,106.0,Colégio Batista,Belo Horizonte,-19.9102519,-43.9356369,Leste
"Rua Caraça, 507 ",2.0,1150000.0,4.0,145.0,Serra,Belo Horizonte,-19.9430505,-43.9141262,Centro-Sul
"Rua Eli Seabra Filho, 215 ",2.0,690000.0,3.0,215.0,Buritis,Belo Horizonte,-19.9756218,-43.9749864,Oeste
"Rua Juiz Costa Val, 118 ",1.0,535000.0,2.0,66.0,Santa Efigênia,Belo Horizonte,-19.9271004,-43.9192351,Leste
"Rua Rio Grande do Sul, 2414 ",1.5,670500.0,1.5,43.0,Santo Agostinho,Belo Horizonte,-19.9227162,-43.946463,Centro-Sul
"Rua Pouso Alegre, 2615 ",1.0,315000.0,2.0,50.0,Horto,Belo Horizonte,-19.9121319,-43.9296778,Leste
"Rua Almirante Alexandrino, 761 ",2.0,1030000.0,4.0,148.0,Gutierrez,Belo Horizonte,-19.931528,-43.9558202,Oeste
"Rua Santa Rita Durão, 152 ",2.0,1320000.0,3.0,93.0,Funcionários,Belo Horizonte,-19.9344756,-43.9346452,Centro-Sul
"Rua José Cláudio Sanches, 120 ",1.0,230000.0,3.0,70.0,Califórnia,Belo Horizonte,-19.9315944,-44.0187098,Noroeste
"Rua Dois Mil Duzentos e Vinte e Um, 80 ",1.0,130000.0,3.0,56.0,Granja De Freitas,Belo Horizonte,-19.9119572,-43.8836351,Leste
"Rua Itaparica, 221 ",2.0,854000.0,4.0,103.0,Serra,Belo Horizonte,-19.9358076,-43.9195007,Centro-Sul
"Rua Bernardo Guimarães, 594 ",2.5,1263492.0,3.5,110.5,Savassi,Belo Horizonte,-19.927333,-43.9477878,Centro-Sul
"Rua Coral, 69 ",2.0,625000.0,3.0,92.0,São Pedro,Belo Horizonte,-19.9485933,-43.9375473,Centro-Sul
"Rua Anhangüera, 95 ",2.0,388000.0,3.0,62.0,Santa Tereza,Belo Horizonte,-19.9138422,-43.9206403,Leste
"Rua José Quirino Rosa, 395 ",4.0,3000000.0,4.0,600.0,Braúnas,Belo Horizonte,-19.8489837,-44.0107497,Pampulha
"Rua Alberto Bressane, 247 ",3.0,1350000.0,4.0,375.0,São Lucas,Belo Horizonte,-19.9300689,-43.9139527,Centro-Sul
Rua Daniel de Carvalho ,2.0,530000.0,4.0,142.0,Gutierrez,Belo Horizonte,-19.9399033,-43.9587235,Oeste
"Rua Nunes Vieira, 292 ",1.0,598000.0,3.0,120.0,Santo Antônio,Belo Horizonte,-19.9424153,-43.945949,Centro-Sul
Rua Flor,2.0,530000.0,3.0,81.0,Beija-Flor,Belo Horizonte,-19.8339596,-43.8688074,Nordeste
"Rua Alvarenga Peixoto, 1250 ",2.5,680000.0,2.5,142.0,Santo Agostinho,Belo Horizonte,-19.929576,-43.9494157,Centro-Sul
Rua Padre Rossini Cândido ,1.0,495000.0,3.0,105.0,Coração Eucarístico,Belo Horizonte,-19.9242494,-43.9883924,Noroeste
"Rua Ocidental, 126 ",1.0,160000.0,2.0,50.0,Serrano,Belo Horizonte,-19.8859929,-44.0105181,Noroeste
Rua Vitório Marcola ,1.0,495000.0,3.0,96.0,Anchieta,Belo Horizonte,-19.9489372,-43.9230864,Centro-Sul
"Rua Doutor Rubens Guimarães, 256 ",2.0,1100000.0,4.0,190.0,Castelo,Belo Horizonte,-19.8880639,-43.9981387,Pampulha
"Rua Bambuí, 699 ",2.0,670000.0,2.0,72.0,Cruzeiro,Belo Horizonte,-19.9521977,-43.9262572,Centro-Sul
"Rua Ouro Preto, 1102 ",2.5,1298925.0,3.5,115.5,Santo Agostinho,Belo Horizonte,-19.9190479,-43.949625,Centro-Sul
"Rua Nhanduti, 287 ",10.0,2690000.0,18.0,1050.0,Caiçara Adeláide,Belo Horizonte,-19.903732,-43.9746476,Noroeste
"Rua Professor Euclydes Ferreira, 339 ",2.0,410000.0,2.0,61.0,Buritis,Belo Horizonte,-19.9701337,-43.972571,Oeste
"Rua Manoel Passos, 743 ",1.0,420000.0,4.0,149.0,Santa Cruz,Belo Horizonte,-19.8775142,-43.9454267,Nordeste
"Rua Rio Grande do Sul, 1212 ",2.0,1680000.0,4.0,142.0,Santo Agostinho,Belo Horizonte,-19.9227162,-43.946463,Centro-Sul
"Rua Padre Francisco Arantes, 151 ",0.0,312000.0,3.0,75.0,Vila Paris,Belo Horizonte,-19.9530867,-43.9514407,Centro-Sul
"Rua Djezar Leite, 200 ",1.0,180000.0,2.0,46.0,Gameleira,Belo Horizonte,-19.941864,-43.9942715,Oeste
"Rua Ouro Preto, 1240 ",4.0,1900000.0,4.0,133.0,Santo Agostinho,Belo Horizonte,-19.9190479,-43.949625,Centro-Sul
"Avenida Coronel José Dias Bicalho, 456 ",2.0,550000.0,3.0,126.0,São José,Belo Horizonte,-19.8590713,-43.9656056,Pampulha
"Rua Vitória, 85 ",1.0,214000.0,2.0,60.0,Santa Cruz,Belo Horizonte,-19.8805752,-43.9366111,Nordeste
"Rua Aurélio Lopes, 248 ",4.0,1400000.0,3.0,208.0,Diamante,Belo Horizonte,-19.9954293,-44.0194475,Barreiro
"Praça Um Mil e Cinquenta e Dois, 17 ",1.0,280000.0,2.0,64.0,Castelo,Belo Horizonte,-19.876972950000003,-43.99427659322822,Pampulha
"Rua Xapuri, 607 ",2.0,844900.0,3.0,89.0,Grajaú,Belo Horizonte,-19.9437549,-43.9704569,Oeste
"Rua Grão Pará, 486 ",2.0,884290.0,2.5,78.5,Santa Efigênia,Belo Horizonte,-19.9220194,-43.9214366,Leste
"Rua Cláudio Manoel, 622 ",2.0,1111500.0,3.0,95.0,Funcionários,Belo Horizonte,-19.9335821,-43.9329926,Centro-Sul
Rua Santo Antônio ,1.0,155000.0,2.0,50.0,São João Batista,Belo Horizonte,-19.8282851,-44.00698,Venda Nova
Rua Xingu ,4.0,1300000.0,4.0,300.0,Santa Lúcia,Belo Horizonte,-19.9729011,-43.9504096,Centro-Sul
"Rua Jacuí, 3480 ",0.0,250000.0,1.0,55.0,Ipiranga,Belo Horizonte,-19.8777593,-43.9290751,Nordeste
Rua Doutor José Welinton ,1.0,220000.0,2.0,62.0,Planalto,Belo Horizonte,-19.8353338,-43.943499,Norte
"Rua Rio Grande do Norte, 1022 ",2.0,1055414.0,3.0,85.5,Funcionários,Belo Horizonte,-19.9302239,-43.9306127,Centro-Sul
"Rua Barão de Coromandel, 789 ",3.0,750000.0,4.0,132.0,Barreiro,Belo Horizonte,-19.8997258,-43.968762,Barreiro
Rua Izabel Alves Martins ,2.0,330000.0,2.0,62.0,Serrano,Belo Horizonte,-19.882997,-44.0112702,Noroeste
"Rua André Cavalcanti, 730 ",3.0,2300000.0,4.0,141.0,Gutierrez,Belo Horizonte,-19.9319115,-43.9611283,Oeste
"Rua Inspetor José Aparecido, 197 ",6.0,1150000.0,8.0,600.0,São Bento,Belo Horizonte,-19.9620119,-43.9528593,Centro-Sul
"Rua Xangrilá, 75 ",4.0,3400000.0,5.0,620.0,Pampulha,Belo Horizonte,-19.7532823,-43.9417148,Pampulha
"Rua Maria Borboleta, 1138 ",1.0,620000.0,3.0,203.0,Jardim dos Comerciários,Belo Horizonte,-19.7977477,-43.9764092,Venda Nova
"Rua Cachoeira de Minas, 114 ",3.0,680000.0,4.0,136.0,Gutierrez,Belo Horizonte,-19.9465331,-43.9600379,Oeste
"Rua Felipe dos Santos, 576 ",2.0,1202181.0,2.5,108.5,Lourdes,Belo Horizonte,-19.9342841,-43.9462997,Centro-Sul
Rua Cardoso ,2.0,780000.0,3.0,174.0,Santa Efigênia,Belo Horizonte,-19.9198846,-43.9119026,Leste
"Rua Pains, 59 ",1.0,555000.0,3.0,118.0,Sion,Belo Horizonte,-19.9552539,-43.9311769,Centro-Sul
Avenida Novara ,6.0,2700000.0,6.0,800.0,Bandeirantes,Belo Horizonte,-19.8602566,-43.9880343,Pampulha
"Rua Dom João Antônio dos Santos, 000 ",0.0,2500000.0,12.0,361.0,Coração Eucarístico,Belo Horizonte,-19.9206452,-43.9879917,Noroeste
"Rua São Paulo, 1905 ",2.0,1350000.0,3.0,90.0,Lourdes,Belo Horizonte,-19.914782,-43.9388011,Centro-Sul
"Rua Martim de Carvalho, 440 ",3.0,1137069.0,3.0,84.0,Santo Agostinho,Belo Horizonte,-19.9311733,-43.9479411,Centro-Sul
"Avenida Engenheiro Carlos Goulart, 1278 ",6.0,4480000.0,4.0,653.0,Buritis,Belo Horizonte,-19.9703438,-43.960916,Oeste
"Rua Santa Rita Durão, 614 ",1.0,850000.0,4.0,140.0,Savassi,Belo Horizonte,-19.9344756,-43.9346452,Centro-Sul
"Rua dos Tupis, 274 ",0.0,365000.0,3.0,99.0,Centro,Belo Horizonte,-19.9205221,-43.9435645,Centro-Sul
"Rua Bernardo Guimarães, 199 ",2.0,895240.0,2.5,80.5,Funcionários,Belo Horizonte,-19.927333,-43.9477878,Centro-Sul
"Rua Cata Preta, 459 ",1.0,175000.0,2.0,43.0,João Pinheiro,Belo Horizonte,-19.932214,-43.9986254,Noroeste
"Rua Císsus, 148 ",1.0,4200000.0,13.0,2250.0,Juliana,Belo Horizonte,-19.809608,-43.9442964,Norte
"Rua Dona Queridinha, 285 ",2.0,558000.0,3.0,80.0,Itapoã,Belo Horizonte,-19.837092,-43.9623659,Pampulha
"Rua Engenheiro Walter Kurrle, 15 ",4.0,2900000.0,4.0,239.0,Belvedere,Belo Horizonte,-19.9777773,-43.9433639,Centro-Sul
"Rua Visconde de Mauá, 95 ",1.0,200000.0,2.0,44.0,Califórnia,Belo Horizonte,-19.9258557,-44.0140584,Noroeste
"Rua dos Inconfidentes, 766 ",2.0,1050000.0,2.5,73.0,Savassi,Belo Horizonte,-19.937775,-43.9268338,Centro-Sul
"Rua Trifana, 247 ",2.0,650000.0,2.0,72.0,Serra,Belo Horizonte,-19.9442676,-43.9178316,Centro-Sul
Rua Cantor Luiz Gonzaga ,2.0,565000.0,3.0,191.0,Castelo,Belo Horizonte,-19.889068,-44.0008325,Pampulha
Rua Frei Caneca ,1.0,290000.0,3.0,85.0,Bonfim,Belo Horizonte,-19.907047,-43.9574328,Noroeste
"Rua Mendoza, 83 ",2.0,465000.0,3.0,150.0,São Pedro,Belo Horizonte,-19.9513071,-43.937821,Centro-Sul
"Avenida Augusto de Lima, 1121 ",0.0,196000.0,1.0,50.0,Barro Preto,Belo Horizonte,-19.9230616,-43.9441556,Centro-Sul
"Rua Monte Simplon, 405 ",2.0,429000.0,2.0,63.0,Nova Suíssa,Belo Horizonte,-19.9295351,-43.9824004,Oeste
"Rua Antônio de Albuquerque, 1.008 ",2.0,680000.0,3.0,138.0,Savassi,Belo Horizonte,-19.936584,-43.9421163,Centro-Sul
"Rua Rio de Janeiro, 1165 ",1.0,420000.0,1.0,58.0,Centro,Belo Horizonte,-19.9150685,-43.9375314,Centro-Sul
"Rua Cipreste, 200 ",1.0,235000.0,2.0,47.0,Marajó,Belo Horizonte,-19.9605408,-43.978523,Oeste
"Avenida Afonso Pena, 4040 ",3.0,3000000.0,6.0,400.0,Cruzeiro,Belo Horizonte,-19.9469331,-43.9212512,Centro-Sul
"Rua Turibaté, 191 ",3.0,985000.0,3.0,130.0,Sion,Belo Horizonte,-19.9564616,-43.931951,Centro-Sul
"Rua Serranos, 61 ",3.0,1500000.0,4.0,248.0,Serra,Belo Horizonte,-19.9438121,-43.916671,Centro-Sul
"Rua Jacuí, 766 ",5.0,1390000.0,5.0,315.0,Floresta,Belo Horizonte,-19.8777593,-43.9290751,Leste
"Rua dos Inconfidentes, 597 ",2.0,725503.0,2.0,58.0,Savassi,Belo Horizonte,-19.937775,-43.9268338,Centro-Sul
"Rua Sônia, 203, ",4.0,520000.0,3.0,137.0,Penha,Belo Horizonte,-19.8583398,-43.9335451,Nordeste
"Rua Paraguai, 66 ",2.0,625000.0,2.0,63.0,Sion,Belo Horizonte,-19.947766,-43.9338933,Centro-Sul
"Rua Belfort Roxo, 275 ",1.0,215000.0,3.0,70.0,Grajaú,Belo Horizonte,-19.9427834,-43.9663408,Oeste
"Rua Araguari, 1331 ",3.0,1950000.0,3.0,135.0,Santo Agostinho,Belo Horizonte,-19.9304083,-43.9514156,Centro-Sul
Rua Dona Cidinha Stussi ,1.0,400000.0,3.0,73.0,Santa Amélia,Belo Horizonte,-19.8408076,-43.9848631,Pampulha
"Rua Aluísio Lobão Veras, 201 ",1.0,230000.0,3.0,72.0,Serrano,Belo Horizonte,-19.8816511,-44.0073674,Noroeste
"Rua dos Inconfidentes, 597 ",2.0,705929.0,2.0,57.0,Funcionários,Belo Horizonte,-19.937775,-43.9268338,Centro-Sul
"Rua Monte Castelo, 170 ",2.0,779000.0,3.0,136.0,Itapoã,Belo Horizonte,-19.8361417,-43.9696521,Pampulha
"Rua Augusto Clementino, 275 ",4.0,1200000.0,6.0,326.0,Santa Amélia,Belo Horizonte,-19.8341265,-43.981495,Pampulha
Rua Desembargador Custódio Lustosa ,2.0,850000.0,3.0,106.0,Itapoã,Belo Horizonte,-19.8360944,-43.957278,Pampulha
"Rua Professor Aníbal Mattos, 313 ",1.0,620000.0,3.0,110.0,Santo Antônio,Belo Horizonte,-19.9480862,-43.944339,Centro-Sul
Rua Orange ,2.0,1590000.0,4.0,143.0,São Pedro,Belo Horizonte,-19.9410165,-43.9356136,Centro-Sul
"Rua dos Borges, 390 ",1.0,150000.0,2.0,49.0,São Gabriel,Belo Horizonte,-19.8413359,-43.8776027,Nordeste
"Rua Genoveva de Souza, 879 ",2.0,680000.0,2.0,69.0,Sagrada Família,Belo Horizonte,-19.9067997,-43.9216393,Leste
Rua Visconde de Taunay ,2.0,279000.0,3.0,70.0,Santa Mônica,Belo Horizonte,-19.9281876,-43.9199884,Pampulha
Rua Dona Cidinha Stussi ,4.0,980000.0,4.0,254.0,Santa Amélia,Belo Horizonte,-19.8408076,-43.9848631,Pampulha
"Rua Tomé de Souza, 95 ",3.0,1850000.0,3.0,118.0,Savassi,Belo Horizonte,-19.9388244,-43.9274451,Centro-Sul
"Rua Buenos Aires, 213 ",0.0,335000.0,2.0,75.0,Sion,Belo Horizonte,-19.9499624,-43.9360413,Centro-Sul
"Rua Bolívia, 387 ",1.0,420000.0,3.0,115.0,São Pedro,Belo Horizonte,-19.9488009,-43.9368301,Centro-Sul
"Rua Stella Hanriot, 518 ",3.0,660000.0,3.0,86.0,Buritis,Belo Horizonte,-19.9715766,-43.9715633,Oeste
"Rua Araguari, 1692 ",2.0,877158.0,2.5,76.0,Santo Agostinho,Belo Horizonte,-19.9304083,-43.9514156,Centro-Sul
"Rua Senador Pompéo, 89 ",1.0,500000.0,2.0,63.0,Serra,Belo Horizonte,-19.9361721,-43.9202723,Centro-Sul
"Rua Pioneiros da Paz, 55 ",5.0,1395000.0,5.0,360.0,Santa Amélia,Belo Horizonte,-19.8388031,-43.9796899,Pampulha
"Rua Dona Cecília, 86 ",4.0,2000000.0,5.0,220.0,Serra,Belo Horizonte,-19.9377676,-43.922114,Centro-Sul
"Rua Paracatu, 727 ",2.0,1200000.0,1.0,180.0,Barro Preto,Belo Horizonte,-19.9198913,-43.9512169,Centro-Sul
"Avenida Vilarinho, 1731 ",1.0,250000.0,3.0,1000.0,Venda Nova,Belo Horizonte,-19.8196297,-43.9521259,Venda Nova
"Rua Bauxita, 114 ",2.5,680000.0,3.0,107.5,Santa Tereza,Belo Horizonte,-19.9129781,-43.9189177,Leste
"Rua Alvarenga Peixoto, 1285 ",1.0,650000.0,3.0,129.0,Santo Agostinho,Belo Horizonte,-19.929576,-43.9494157,Centro-Sul
Rua Mário de Andrade Gomes ,2.0,390000.0,4.0,150.0,Sagrada Família,Belo Horizonte,-19.9109591,-43.9187938,Leste
"Rua Alcântara, 423 ",2.0,1100000.0,4.0,178.0,Nova Granada,Belo Horizonte,-19.9374107,-43.9712444,Oeste
"Rua São Romão, 209 ",2.0,599000.0,3.0,118.0,Santo Antônio,Belo Horizonte,-19.9450687,-43.9402399,Centro-Sul
"Rua dos Inconfidentes, 732 ",1.0,1500000.0,3.0,200.0,Savassi,Belo Horizonte,-19.937775,-43.9268338,Centro-Sul
"Rua Gonçalves Dias, 31 ",3.0,680000.0,3.0,138.0,Funcionários,Belo Horizonte,-19.9311846,-43.9376407,Centro-Sul
"Rua Senhora da Paz, 1013 ",2.0,960000.0,5.0,211.0,Cachoeirinha,Belo Horizonte,-19.8934302,-43.9446795,Nordeste
"Rua Carioca, 750 ",3.0,700000.0,4.0,97.0,Padre Eustáquio,Belo Horizonte,-19.9158375,-43.9876115,Noroeste
"Rua Aramirim, 35 ",2.0,590000.0,3.0,66.0,Nova Suíssa,Belo Horizonte,-19.9329559,-43.9727671,Oeste
Rua dos Otoni ,2.0,1235000.0,3.0,101.0,Santa Efigênia,Belo Horizonte,-19.86409,-43.9327907,Leste
"Rua Expedicionário Salvador Alves, 144 ",1.0,200000.0,2.0,55.0,Itatiaia,Belo Horizonte,-19.8703915,-44.0136668,Pampulha
"Alameda das Palmeiras, 95 ",13.0,3440000.0,7.0,800.0,São Luíz,Belo Horizonte,-19.857305,-43.9715466,Pampulha
"Rua Fernandes Tourinho, 221 ",2.0,680000.0,2.0,65.0,Savassi,Belo Horizonte,-19.9393917,-43.9358894,Centro-Sul
"Rua Francisco Augusto Rocha, 101 ",2.0,399000.0,3.0,69.0,Planalto,Belo Horizonte,-19.8259057,-43.9535056,Norte
"Rua Deputado Bernardino de Sena Figueiredo, 1177 ",3.0,750000.0,3.0,150.0,Cidade Nova,Belo Horizonte,-19.8840778,-43.9282818,Nordeste
Rua Itabira ,1.0,265000.0,3.0,60.0,Colégio Batista,Belo Horizonte,-19.9076379,-43.94024,Leste
"Praça Afonso Arinos, 176 ",1.0,750000.0,3.0,150.0,Centro,Belo Horizonte,-19.9253271,-43.93653147605973,Centro-Sul
"Rua Dante, 133 ",2.0,790000.0,4.0,132.0,São Lucas,Belo Horizonte,-19.9305605,-43.9206684,Centro-Sul
"Rua Sergipe, 15 ",0.0,330000.0,2.0,77.0,Funcionários,Belo Horizonte,-19.9276923,-43.9354354,Centro-Sul
"Rua Oliveiro Marciano, 315 ",1.0,149900.0,2.0,45.0,Diamante,Belo Horizonte,-19.992021,-44.0224834,Barreiro
"Rua Iraí, 577 ",2.0,860000.0,4.0,140.0,Vila Paris,Belo Horizonte,-19.9463585,-43.9507721,Centro-Sul
Rua Alga Vermelha ,1.0,340000.0,3.0,70.0,Floramar,Belo Horizonte,-19.8284095,-43.9397953,Norte
"Rua dos Aeronautas, 400 ",2.0,400000.0,3.0,79.0,Liberdade,Belo Horizonte,-19.8589699,-43.9558088,Pampulha
"Rua Alga Vermelha, 120 ",1.0,420000.0,3.0,79.0,Jardim Guanabara,Belo Horizonte,-19.8284095,-43.9397953,Norte
"Rua Prados, 567 ",2.0,680000.0,2.0,79.5,Carlos Prates,Belo Horizonte,-19.908874,-43.9581104,Noroeste
Rua São Bento ,2.0,1300000.0,3.0,230.0,Graça,Belo Horizonte,-19.902532,-43.9179091,Nordeste
Rua Moreira Antunes ,0.0,200000.0,2.0,100.0,Beija Flor,Belo Horizonte,-19.8336238,-43.8714023,Nordeste
"Rua Pastor Achilles Barbosa, 381 ",1.0,192000.0,2.0,44.0,Palmares,Belo Horizonte,-19.8719417,-43.9377335,Nordeste
Rua Itamaracá ,3.0,950000.0,7.0,292.0,Concórdia,Belo Horizonte,-19.9032036,-43.9339234,Nordeste
Rua Rádio ,2.5,528600.0,2.5,73.0,São Lucas,Belo Horizonte,-19.933145,-43.9191379,Centro-Sul
Rua Raimundo Albergaria Filho ,1.0,428000.0,4.0,130.0,Copacabana,Belo Horizonte,-19.8382317,-43.9943135,Norte
"Rua Álvares de Azevedo, 153 ",4.0,999000.0,3.0,245.0,Floresta,Belo Horizonte,-19.908646,-43.9397161,Leste
"Rua Monte Castelo, 170 ",2.0,689000.0,3.0,160.0,Itapoã,Belo Horizonte,-19.8361417,-43.9696521,Pampulha
"Rua Recy Souza Paiva, 193 ",2.0,394000.0,3.0,60.0,Planalto,Belo Horizonte,-19.8349727,-43.9541979,Norte
"Rua Desembargador Custódio Lustosa, 56 ",2.0,700000.0,3.0,93.0,Itapoã,Belo Horizonte,-19.8360944,-43.957278,Pampulha
"Rua Alumínio, 50 ",3.5,680000.0,3.5,197.5,Serra,Belo Horizonte,-19.9390308,-43.9256143,Centro-Sul
"Avenida João Pinheiro, 581 ",1.0,498000.0,1.0,69.0,Funcionários,Belo Horizonte,-19.9268305,-43.9366543,Centro-Sul
"Rua Alagoas, 1182 ",2.0,780000.0,2.0,98.0,Savassi,Belo Horizonte,-19.9314695,-43.9350021,Centro-Sul
Rua Caraça ,5.0,1950000.0,4.0,246.0,Serra,Belo Horizonte,-19.9430505,-43.9141262,Centro-Sul
